audience,example,person,entity_type,count,over_summary_length
none,none,2,GPE,27,0.014077163712200209
none,none,2,ORG,6,0.0031282586027111575
none,none,2,PERSON,9,0.0046923879040667365
none,none,2,MONEY,1,0.0005213764337851929
none,none,2,DATE,3,0.0015641293013555788
none,none,2,FAC,1,0.0005213764337851929
none,none,2,LOC,1,0.0005213764337851929
none,none,2,TOTAL,48,0.02502606882168926
none,manual_example,2,GPE,11,0.00842911877394636
none,manual_example,2,ORG,4,0.0030651340996168583
none,manual_example,2,PERSON,4,0.0030651340996168583
none,manual_example,2,DATE,2,0.0015325670498084292
none,manual_example,2,TOTAL,21,0.016091954022988506
none,manual_example,2,GPE,11,0.00842911877394636
none,manual_example,2,ORG,4,0.0030651340996168583
none,manual_example,2,PERSON,4,0.0030651340996168583
none,manual_example,2,DATE,2,0.0015325670498084292
none,manual_example,2,TOTAL,21,0.016091954022988506
none,manual_example,2,GPE,11,0.00842911877394636
none,manual_example,2,ORG,4,0.0030651340996168583
none,manual_example,2,PERSON,4,0.0030651340996168583
none,manual_example,2,DATE,2,0.0015325670498084292
none,manual_example,2,TOTAL,21,0.016091954022988506
none,masked_manual_example,2,GPE,18,0.009620523784072688
none,masked_manual_example,2,PERSON,4,0.002137894174238375
none,masked_manual_example,2,ORG,4,0.002137894174238375
none,masked_manual_example,2,DATE,1,0.0005344735435595938
none,masked_manual_example,2,FAC,1,0.0005344735435595938
none,masked_manual_example,2,NORP,1,0.0005344735435595938
none,masked_manual_example,2,QUANTITY,1,0.0005344735435595938
none,masked_manual_example,2,LOC,1,0.0005344735435595938
none,masked_manual_example,2,TOTAL,31,0.016568679850347406
none,masked_manual_example,2,GPE,18,0.009620523784072688
none,masked_manual_example,2,PERSON,4,0.002137894174238375
none,masked_manual_example,2,ORG,4,0.002137894174238375
none,masked_manual_example,2,DATE,1,0.0005344735435595938
none,masked_manual_example,2,FAC,1,0.0005344735435595938
none,masked_manual_example,2,NORP,1,0.0005344735435595938
none,masked_manual_example,2,QUANTITY,1,0.0005344735435595938
none,masked_manual_example,2,LOC,1,0.0005344735435595938
none,masked_manual_example,2,TOTAL,31,0.016568679850347406
none,masked_manual_example,2,GPE,18,0.009620523784072688
none,masked_manual_example,2,PERSON,4,0.002137894174238375
none,masked_manual_example,2,ORG,4,0.002137894174238375
none,masked_manual_example,2,DATE,1,0.0005344735435595938
none,masked_manual_example,2,FAC,1,0.0005344735435595938
none,masked_manual_example,2,NORP,1,0.0005344735435595938
none,masked_manual_example,2,QUANTITY,1,0.0005344735435595938
none,masked_manual_example,2,LOC,1,0.0005344735435595938
none,masked_manual_example,2,TOTAL,31,0.016568679850347406
none,masked_template,2,PERCENT,1,0.0003965107057890563
none,masked_template,2,GPE,24,0.00951625693893735
none,masked_template,2,DATE,3,0.0011895321173671688
none,masked_template,2,PERSON,6,0.0023790642347343376
none,masked_template,2,ORG,6,0.0023790642347343376
none,masked_template,2,MONEY,1,0.0003965107057890563
none,masked_template,2,FAC,1,0.0003965107057890563
none,masked_template,2,CARDINAL,1,0.0003965107057890563
none,masked_template,2,TOTAL,43,0.01704996034892942
none,masked_template,2,PERCENT,1,0.0003965107057890563
none,masked_template,2,GPE,24,0.00951625693893735
none,masked_template,2,DATE,3,0.0011895321173671688
none,masked_template,2,PERSON,6,0.0023790642347343376
none,masked_template,2,ORG,6,0.0023790642347343376
none,masked_template,2,MONEY,1,0.0003965107057890563
none,masked_template,2,FAC,1,0.0003965107057890563
none,masked_template,2,CARDINAL,1,0.0003965107057890563
none,masked_template,2,TOTAL,43,0.01704996034892942
none,masked_template,2,PERCENT,1,0.0003965107057890563
none,masked_template,2,GPE,24,0.00951625693893735
none,masked_template,2,DATE,3,0.0011895321173671688
none,masked_template,2,PERSON,6,0.0023790642347343376
none,masked_template,2,ORG,6,0.0023790642347343376
none,masked_template,2,MONEY,1,0.0003965107057890563
none,masked_template,2,FAC,1,0.0003965107057890563
none,masked_template,2,CARDINAL,1,0.0003965107057890563
none,masked_template,2,TOTAL,43,0.01704996034892942
self,none,2,GPE,14,0.005548949663099485
self,none,2,PERSON,9,0.0035671819262782403
self,none,2,MONEY,1,0.00039635354736424893
self,none,2,ORG,6,0.0023781212841854932
self,none,2,DATE,6,0.0023781212841854932
self,none,2,FAC,1,0.00039635354736424893
self,none,2,TOTAL,37,0.01466508125247721
self,none,2,GPE,14,0.005548949663099485
self,none,2,PERSON,9,0.0035671819262782403
self,none,2,MONEY,1,0.00039635354736424893
self,none,2,ORG,6,0.0023781212841854932
self,none,2,DATE,6,0.0023781212841854932
self,none,2,FAC,1,0.00039635354736424893
self,none,2,TOTAL,37,0.01466508125247721
self,none,2,GPE,14,0.005548949663099485
self,none,2,PERSON,9,0.0035671819262782403
self,none,2,MONEY,1,0.00039635354736424893
self,none,2,ORG,6,0.0023781212841854932
self,none,2,DATE,6,0.0023781212841854932
self,none,2,FAC,1,0.00039635354736424893
self,none,2,TOTAL,37,0.01466508125247721
self,manual_example,2,PERSON,2,0.0014914243102162564
self,manual_example,2,GPE,16,0.011931394481730051
self,manual_example,2,ORG,1,0.0007457121551081282
self,manual_example,2,TOTAL,19,0.014168530947054437
self,manual_example,2,PERSON,2,0.0014914243102162564
self,manual_example,2,GPE,16,0.011931394481730051
